id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150178079","Harrow","Serviced Office","79 College Road, Harrow, Greater London, United Kingdom HA1 1BD","£539 pcm","From","","4","Private workspace for up to 2 in College Road. Fully flexible, with ergonomic furniture and fast Wi-Fi included.","https://www.rightmove.co.uk/properties/150178079#/?channel=COM_LET","2024-07-12T11:25:47Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.57979","-0.33712","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150178079/129853_UK2ws3780_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150178079/129853_UK2ws3780_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150178079/129853_UK2ws3780_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150178079/129853_UK2ws3780_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150178079/129853_UK2ws3780_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150178079/129853_UK2ws3780_IMG_03_0000_max_476x317.jpeg"
"169906853","Harrow","Warehouse","Unit 22 The Hawthorn Centre, Elmgrove Road, Harrow, HA1 2RF","£2,917 pcm","","","","Modern Warehouse/Offices","https://www.rightmove.co.uk/properties/169906853#/?channel=COM_LET","2025-12-02T10:33:17Z","","price_reduced","Marketed by Dutch & Dutch, Commercial","","51.58808","-0.327272","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d4f3b61a1/169906853/d4f3b61a1418a07a22de52afd427b79f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c7b6f242c/169906853/c7b6f242c990f455dbafcd0f34057fd9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/89a1c7a2d/169906853/89a1c7a2d1b0b2a5094aaf9f289e006e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/31bd88328/169906853/31bd88328149622035da945863a10720_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a3160f008/169906853/a3160f00831f336c72ee46e47dcaeddc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4127724dd/169906853/4127724ddc16b014058556744e5e7aa4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/348314be7/169906853/348314be75c1f3b93adb09db3122ad75_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ccff3778b/169906853/ccff3778bbd4ad867ad55c633fb43687_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/66ddf615c/169906853/66ddf615c85e0185a157aa8160630c64_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4bbbf6ce7/169906853/4bbbf6ce71058eba7e7dc47cbf2f39d9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5a8de1e1a/169906853/5a8de1e1a7fcf5e614bd025d78709484_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1311bac69/169906853/1311bac691454b4b0b82c5eb2a872aa6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9aa7dc023/169906853/9aa7dc023464035d7a7da68ba7837729_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3ae2f7810/169906853/3ae2f78104dc44eb3164990de120a5a1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4fe2f85b5/169906853/4fe2f85b566dad36845ec5c4ef7077bb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/752200b4f/169906853/752200b4ff5f71296f3fe87d33ee45ac_max_476x317.jpeg"
"169906487","Harrow","Warehouse","Unit 17, Hawthorn Centre, Elmgrove Road, Harrow, HA1 2RF","£2,500 pcm","","","","Refurbished Modern Warehouse/Industrial Property TO LET","https://www.rightmove.co.uk/properties/169906487#/?channel=COM_LET","2025-12-02T10:27:36Z","","price_reduced","Marketed by Dutch & Dutch, Commercial","","51.587498","-0.326357","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_09_0000_max_476x317.jpeg"
"169876943","Harrow","Warehouse","Rear Garages, St. Johns Road, Harrow, Greater London, HA1","£2,500 pcm","","","","Available to lease as a single package of 7 standard size lock-up garages sitting in a secure gated yard space in the heart of Harrow Town Centre. The garages sit behind a residential apartment building and are approached by a single carriage drive. An ideal property solution for a used car de...","https://www.rightmove.co.uk/properties/169876943#/?channel=COM_LET","2025-12-01T13:27:03Z","","new","Marketed by Chamberlain Commercial (UK) Ltd, Middlesex","","51.581596","-0.331616","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169876943/145475_1462LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169876943/145475_1462LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169876943/145475_1462LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169876943/145475_1462LH_IMG_03_0000_max_476x317.jpeg"
"162702077","Harrow","Light Industrial","Barratt Way, Harrow HA3 5TJ, UK","£4,874 pcm","","","","Unit 8 consists 2,437 sq.ft of ground floor warehouse space and has just been fully refurbished. Consisting of 11 units ranging from 2,200 sq ft to 10,500 sq ft, Barratt Way Industrial Estate offers versatile space with 24 hour secure access. The site is located close to the amen...","https://www.rightmove.co.uk/properties/162702077#/?channel=COM_LET","2025-06-02T09:56:00Z","","price_reduced","Marketed by Capital Industrial, London","","51.596957","-0.343911","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_05_0000_max_476x317.jpeg"
"169788287","Harrow","Retail Property (high street)","Station Road, Harrow, Greater London, HA1","£2,708 pcm","","","","A former building society office consisting of ground floor 1,150 sq ft and first floor 1,100 sq ft. The property is in good condition with partial air conditioning, CAT 5 cabling, LED lighting and new fitted kitchen space.","https://www.rightmove.co.uk/properties/169788287#/?channel=COM_LET","2025-11-27T15:50:03Z","","new","Marketed by Chamberlain Commercial (UK) Ltd, Middlesex","","51.579639","-0.333766","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_05_0000_max_476x317.jpeg"
"169780208","Harrow","Residential Development","Kingshill Avenue, Harrow, HA3 8LB","£3,000 pcm","","4","2","Renovated semi-detached house offers a perfect blend of modern living and comfort. Spanning an impressive 1,356 square feet, the property boasts four spacious bedrooms, making it an ideal family home. Upon entering, you will be greeted by a through lounge, perfect for entertaining guests or enjoy...","https://www.rightmove.co.uk/properties/169780208#/?channel=COM_LET","2025-11-27T13:29:05Z","","new","Marketed by Haymills, Harrow","","51.589363","-0.313824","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_13_0000_max_476x317.jpeg"
"721597925691808","Harrow","Retail Property (high street)","2B Bishops Walk, Pinner, HA5 5QQ","£1,333 pcm","","","","Ground Floor Retail Unit","https://www.rightmove.co.uk/properties/721597925691808#/?channel=COM_LET","2025-11-26T11:10:00Z","","new","Marketed by DCPC Commercial, Pinner","","51.594542","-0.381608","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_05_0000_max_476x317.jpeg"
"721597795763424","Harrow","Retail Property (high street)","70 Pinner Green, Pinner, HA5 2AB","£1,467 pcm","","","","Prominent Retail Unit - To Let","https://www.rightmove.co.uk/properties/721597795763424#/?channel=COM_LET","2025-11-26T11:09:08Z","","new","Marketed by DCPC Commercial, Pinner","","51.598093","-0.395004","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597795763424/82557_265030-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597795763424/82557_265030-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597795763424/82557_265030-2_IMG_02_0000_max_476x317.jpeg"
"721597716143153","Harrow","Office","Unit 8, Churchill Court, Harrow, HA2 7SA","£1,980 pcm","","","","Third floor office available to let. Located opposite North Harrow Metropolitan line station & recently refurbished throughout.","https://www.rightmove.co.uk/properties/721597716143153#/?channel=COM_LET","2025-11-26T11:08:18Z","","new","Marketed by DCPC Commercial, Pinner","","51.584719","-0.361244","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597716143153/82557_204951-2_IMG_00_0000_max_476x317.jpeg"
